source_file,window_start_idx,window_size,label,aggression_score,intensity_score,idle_time_ratio,mean_speed,max_speed,min_speed,speed_std,speed_p10,speed_p90,speed_range,speed_utilization,max_speed_utilization,speed_cv,speed_drop_ratio,speed_rise_ratio,mean_rpm,max_rpm,rpm_std,rpm_utilization,high_rpm_ratio,rpm_cv,mean_throttle,throttle_std,throttle_cv,throttle_changes,max_throttle_delta,throttle_utilization,mean_load,load_std,load_utilization,load_cv
exp2_19drivers_1car_1route.csv,0,300,SLOW,0.53,0.6511,0.2367,32.8136,69.0,0.0,24.1692,0.0,61.6,69.0,0.5127,1.0781,0.7366,1.0,0.8928,1500.9465,3156.0,602.2617,0.6093,0.2843,0.4013,26.8313,6.3915,0.2382,69,32.6,1.0,48.207,24.0008,0.4846,0.4979
exp2_19drivers_1car_1route.csv,150,300,SLOW,0.53,0.6201,0.26,27.9764,69.0,0.0,23.1478,0.0,56.5,69.0,0.4371,1.0781,0.8274,1.0,0.8188,1358.7425,2633.0,519.8178,0.5516,0.1773,0.3826,25.366,5.7628,0.2272,75,15.3,1.0,44.8773,21.3324,0.4511,0.4754
exp2_19drivers_1car_1route.csv,300,300,SLOW,0.53,0.6207,0.1567,28.6554,72.0,0.0,19.4193,0.0,52.0,72.0,0.4477,1.125,0.6777,1.0,0.7222,1457.5552,3364.0,561.4836,0.5917,0.2441,0.3852,26.2513,5.9299,0.2259,94,18.4,1.0,46.2818,23.4925,0.4652,0.5076
exp2_19drivers_1car_1route.csv,450,300,SLOW,0.53,0.651,0.1067,34.8576,72.0,0.0,19.2989,0.0,57.0,72.0,0.5447,1.125,0.5537,1.0,0.7917,1629.4167,3720.0,600.5904,0.6615,0.34,0.3686,27.4819,5.6245,0.2047,97,18.5,1.0,46.8161,23.305,0.4706,0.4978
exp2_19drivers_1car_1route.csv,600,300,NORMAL,0.61,0.6816,0.0733,41.7629,77.0,0.0,19.1663,8.0,61.0,77.0,0.6525,1.2031,0.4589,0.8961,0.7922,1726.0803,3720.0,548.1015,0.7007,0.4047,0.3175,28.3263,5.6184,0.1983,85,25.9,1.0,48.4403,24.1549,0.4869,0.4987
exp2_19drivers_1car_1route.csv,750,300,AGGRESSIVE,0.67,0.6828,0.0567,40.6473,81.0,0.0,19.8044,10.0,62.9,81.0,0.6351,1.2656,0.4872,0.8765,0.7765,1695.7324,2826.0,518.4778,0.6884,0.3946,0.3058,28.6973,5.9507,0.2074,103,25.9,1.0,51.31,26.2642,0.5158,0.5119
exp2_19drivers_1car_1route.csv,900,300,AGGRESSIVE,0.67,0.6556,0.1433,35.6881,81.0,0.0,20.9651,0.0,59.0,81.0,0.5576,1.2656,0.5875,1.0,0.7284,1547.6133,2826.0,543.9796,0.6283,0.2967,0.3515,27.6943,7.0208,0.2535,123,45.1,1.0,49.915,25.8856,0.5018,0.5186
exp2_19drivers_1car_1route.csv,1050,300,NORMAL,0.61,0.6525,0.1733,36.5729,77.0,0.0,23.0015,0.0,63.6,77.0,0.5715,1.2031,0.6289,1.0,0.826,1445.82,2629.0,506.0346,0.587,0.24,0.35,27.1585,7.717,0.2841,113,48.2,1.0,49.7304,24.8854,0.4999,0.5004
exp2_19drivers_1car_1route.csv,1200,300,NORMAL,0.61,0.6441,0.11,35.651,77.0,0.0,20.9837,0.0,64.0,77.0,0.557,1.2031,0.5886,1.0,0.8312,1473.5767,2812.0,529.3774,0.5982,0.2733,0.3592,27.0047,6.9658,0.2579,109,48.2,1.0,47.9701,24.3017,0.4822,0.5066
exp2_19drivers_1car_1route.csv,1350,300,SLOW,0.53,0.6202,0.1133,31.8027,67.0,0.0,18.1276,0.0,52.0,67.0,0.4969,1.0469,0.57,1.0,0.7761,1484.0436,3190.0,556.2267,0.6025,0.2819,0.3748,26.3835,5.7181,0.2167,110,19.6,1.0,43.9421,21.888,0.4417,0.4981
exp2_19drivers_1car_1route.csv,1500,300,SLOW,0.53,0.6171,0.0767,34.2712,67.0,0.0,16.4319,7.0,52.0,67.0,0.5355,1.0469,0.4795,0.8955,0.7761,1463.7416,3190.0,463.0574,0.5942,0.198,0.3164,26.2181,5.1116,0.195,91,15.3,1.0,43.1604,20.1143,0.4339,0.466
exp2_19drivers_1car_1route.csv,1650,300,NORMAL,0.61,0.6215,0.06,37.0881,63.0,0.0,15.8212,12.8,55.0,63.0,0.5795,0.9844,0.4266,0.7968,0.873,1446.1913,2530.0,391.7622,0.5871,0.1678,0.2709,26.062,5.2902,0.203,74,13.7,1.0,43.3602,20.5855,0.4359,0.4748
exp2_19drivers_1car_1route.csv,1800,300,NORMAL,0.61,0.6266,0.0633,37.0168,63.0,0.0,16.4429,12.6,55.0,63.0,0.5784,0.9844,0.4442,0.8,0.873,1465.3805,2704.0,428.5723,0.5949,0.1886,0.2925,26.281,5.2307,0.199,87,13.7,1.0,44.1736,21.1257,0.444,0.4782
exp2_19drivers_1car_1route.csv,1950,300,SLOW,0.53,0.6119,0.0433,33.1627,58.0,0.0,16.5556,7.4,52.6,58.0,0.5182,0.9062,0.4992,0.8724,0.9069,1345.2963,2704.0,455.0642,0.5461,0.138,0.3383,26.1713,5.2283,0.1998,90,15.7,1.0,47.693,20.5133,0.4794,0.4301
exp2_19drivers_1car_1route.csv,2100,300,SLOW,0.53,0.6027,0.1367,30.0272,64.0,0.0,19.8367,0.0,53.0,64.0,0.4692,1.0,0.6606,1.0,0.8281,1191.8087,2752.0,427.4337,0.4838,0.0705,0.3586,25.25,5.4304,0.2151,74,15.7,1.0,48.9411,17.9827,0.492,0.3674
exp2_19drivers_1car_1route.csv,2250,300,SLOW,0.53,0.6035,0.13,31.4082,64.0,0.0,19.2046,0.0,54.0,64.0,0.4908,1.0,0.6115,1.0,0.8438,1206.83,2752.0,423.469,0.4899,0.0567,0.3509,25.2331,5.4498,0.216,85,14.9,1.0,48.3331,17.8703,0.4859,0.3697
exp2_19drivers_1car_1route.csv,2400,300,NORMAL,0.53,0.6047,0.08,30.3552,61.0,0.0,16.4864,2.0,50.0,61.0,0.4743,0.9531,0.5431,0.9672,0.8197,1321.3333,2940.0,494.0379,0.5364,0.1533,0.3739,26.1094,5.864,0.2246,95,38.0,1.0,48.5946,19.9225,0.4885,0.41
exp2_19drivers_1car_1route.csv,2550,300,NORMAL,0.53,0.639,0.1033,32.8333,78.0,0.0,19.9217,0.0,56.0,78.0,0.513,1.2188,0.6068,1.0,0.7179,1512.5867,2940.0,532.8634,0.6141,0.3133,0.3523,27.2431,6.1934,0.2273,96,38.0,1.0,48.0196,22.6363,0.4827,0.4714
exp2_19drivers_1car_1route.csv,2700,300,NORMAL,0.61,0.6557,0.1267,35.8714,78.0,0.0,21.95,0.0,61.0,78.0,0.5605,1.2188,0.6119,1.0,0.7821,1566.1267,2835.0,557.3895,0.6358,0.3567,0.3559,27.445,6.8517,0.2497,111,61.9,1.0,47.4919,23.7603,0.4774,0.5003
